{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.5, 'pad_offset': 0.3, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.202523201786522, 'FA (%)': 5.103871625718115, 'MISS (%)': 2.098651576068406}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.0, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 12.830106108780637, 'FA (%)': 0.9251586310908944, 'MISS (%)': 11.904947477689742}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.0, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 11.109181281113239, 'FA (%)': 1.260083554598837, 'MISS (%)': 9.849097726514405}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.0, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 10.108206524359439, 'FA (%)': 1.8439000691050935, 'MISS (%)': 8.264306455254346}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.0, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 9.459363771435173, 'FA (%)': 2.549769696957216, 'MISS (%)': 6.9095940744779565}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.0, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 9.003274067402959, 'FA (%)': 3.291754743961657, 'MISS (%)': 5.7115193234413}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.1, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 11.241343318500768, 'FA (%)': 1.3267269081998376, 'MISS (%)': 9.914616410300932}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.1, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 9.714499211062005, 'FA (%)': 1.6478585334947262, 'MISS (%)': 8.066640677567278}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.1, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 8.801986678189438, 'FA (%)': 2.221885224879738, 'MISS (%)': 6.580101453309702}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.1, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 8.246034708965748, 'FA (%)': 2.913940403737345, 'MISS (%)': 5.332094305228403}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.1, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.876731719082984, 'FA (%)': 3.641390955578225, 'MISS (%)': 4.23534076350476}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.2, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 10.208839873475311, 'FA (%)': 1.8955955677047844, 'MISS (%)': 8.313244305770526}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.2, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 8.773766937718134, 'FA (%)': 2.208589199930921, 'MISS (%)': 6.565177737787214}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.2, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 7.953920346543184, 'FA (%)': 2.7686878718209504, 'MISS (%)': 5.185232474722233}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.2, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 7.4814378672758295, 'FA (%)': 3.4445495985687336, 'MISS (%)': 4.036888268707095}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.2, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.267317701207612, 'FA (%)': 4.147411217456731, 'MISS (%)': 3.119906483750882}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.3, 'pad_onset': 0.0, 'filter_speech_first': True}, {'DetER (%)': 9.482928730685437, 'FA (%)': 2.5637243848288573, 'MISS (%)': 6.91920434585658}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.3, 'pad_onset': 0.1, 'filter_speech_first': True}, {'DetER (%)': 8.149245974180905, 'FA (%)': 2.8671564844336963, 'MISS (%)': 5.282089489747207}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.3, 'pad_onset': 0.2, 'filter_speech_first': True}, {'DetER (%)': 7.415032230066523, 'FA (%)': 3.4121459116638113, 'MISS (%)': 4.002886318402713}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.3, 'pad_onset': 0.3, 'filter_speech_first': True}, {'DetER (%)': 7.0883310522521805, 'FA (%)': 4.058723231973293, 'MISS (%)': 3.029607820278888}
{'min_duration_off': 0.0, 'min_duration_on': 0.0, 'offset': 0.5, 'onset': 0.6, 'pad_offset': 0.3, 'pad_onset': 0.4, 'filter_speech_first': True}, {'DetER (%)': 7.0861242440860215, 'FA (%)': 4.719814586364235, 'MISS (%)': 2.3663096577217853}
